Area,VehPower,VehAge,DrivAge,Credit,FuelType,Density,Amount
D,6,4,32,767,Diesel,1871,1497.59
D,5,11,43,740,Diesel,1063,70.2
D,8,5,56,770,Diesel,1323,1128
D,7,1,43,714,Diesel,1063,1128.12
D,4,6,31,725,Diesel,578,1128.12
D,4,6,31,725,Diesel,578,2088.55
D,7,4,31,768,Diesel,1323,375.14
D,7,4,31,768,Diesel,1323,37.35
D,5,5,46,744,Regular,1871,37.345
D,5,5,46,744,Regular,1871,564
D,6,10,33,769,Diesel,1323,830.89
D,6,13,32,720,Diesel,1323,1585.35
C,4,11,38,770,Regular,214,81.37
E,6,6,34,770,Diesel,3973,6356.79
C,5,2,62,762,Diesel,214,292.22
E,6,2,57,770,Diesel,3317,1128
C,6,13,25,740,Regular,214,175.78
A,4,13,32,762,Regular,44,1037.64
A,8,14,41,702,Regular,26,1128.12
C,10,6,45,770,Regular,313,206.65
C,7,17,38,770,Regular,214,900.82
B,6,5,22,740,Diesel,84,2330.31
A,5,1,66,770,Regular,26,1128
A,7,14,50,770,Regular,27,224.2
F,6,7,52,770,Diesel,27000,4925.76
E,5,2,54,763,Diesel,9307,70.2
E,6,8,26,770,Regular,2051,1767.98
B,5,1,21,730,Diesel,97,1193.88
E,6,9,37,769,Diesel,9307,14776.37
E,10,6,42,770,Regular,9307,173.21
E,6,14,64,770,Diesel,2897,106.71
E,6,10,34,756,Diesel,8549,1128.12
E,10,12,36,763,Regular,8549,2095.09
E,11,6,36,737,Diesel,8549,1128
E,6,8,52,770,Diesel,3657,1232.03
B,6,12,41,770,Regular,56,101.75
E,9,2,45,752,Regular,4087,1128
E,11,5,46,770,Regular,4087,1128
E,7,1,44,770,Regular,4087,1128
C,6,6,32,762,Diesel,191,1829.39
C,7,13,35,744,Diesel,298,992.96
C,6,4,63,749,Diesel,106,1128.12
C,7,5,41,770,Regular,298,3430.15
B,7,9,21,735,Regular,78,426.86
D,6,14,38,769,Diesel,1313,787.15
B,5,12,29,735,Diesel,78,847.67
C,11,2,52,770,Diesel,135,100.04
B,6,12,44,770,Diesel,65,423.46
C,7,7,76,770,Regular,182,1128.12
A,7,2,41,770,Diesel,14,1128
A,12,8,61,770,Diesel,45,82.05
A,6,26,20,720,Regular,13,1157.68
C,9,11,57,768,Regular,182,1128
A,6,9,20,725,Diesel,8,1760.27
A,9,13,80,740,Regular,11,1354.73
A,6,7,21,702,Diesel,29,1323.71
A,6,12,46,770,Diesel,47,1128
C,5,7,70,770,Regular,379,1128
D,10,18,59,735,Diesel,567,1128.12
C,9,10,44,770,Regular,394,234.32
C,9,3,37,770,Diesel,162,1128.12
C,7,15,25,740,Diesel,265,1121.22
B,4,12,47,770,Diesel,81,201.35
D,4,3,30,756,Regular,704,558
C,9,14,32,740,Regular,174,1128.12
C,7,7,55,758,Regular,319,564.06
C,7,7,55,758,Regular,319,564
C,5,12,21,720,Diesel,312,1417.06
A,7,8,40,770,Regular,45,1464.41
C,5,9,44,768,Diesel,137,1128.12
B,11,11,60,770,Regular,70,78.58
C,6,2,35,770,Regular,388,612.52
C,4,5,50,770,Regular,124,1128
E,4,11,53,730,Diesel,2139,1025.255
E,4,11,53,730,Diesel,2139,564.06
C,5,1,27,756,Diesel,123,761.12
E,6,5,60,725,Diesel,5460,1128.12
B,6,1,30,757,Diesel,62,2748.92
D,9,15,23,695,Regular,856,1128
D,9,10,20,720,Regular,856,1128.12
A,8,14,20,702,Regular,38,1128.12
A,4,9,22,702,Diesel,30,564.045
A,4,9,22,702,Diesel,30,564
C,9,12,22,735,Regular,144,183.24
C,5,9,48,727,Diesel,259,1128.12
E,5,10,36,735,Diesel,2399,92.29
C,6,11,57,770,Diesel,140,1706.65
C,4,0,28,740,Regular,387,83.51
C,5,12,49,770,Diesel,190,636.89
B,4,8,45,682,Regular,94,1128.12
B,6,1,71,770,Regular,94,925.71
B,7,14,61,770,Regular,70,1128
C,4,15,49,758,Regular,229,564.06
C,4,15,49,758,Regular,229,564.06
C,5,16,27,695,Regular,229,213.5
C,5,16,27,695,Regular,229,564
B,9,12,33,714,Regular,94,595.53
C,7,10,53,770,Regular,229,1128.12
C,5,14,46,770,Diesel,229,1128
C,7,16,45,763,Regular,229,1128
C,9,15,49,770,Regular,190,688.03
C,5,5,26,729,Regular,229,1128.12
A,8,19,60,770,Regular,13,1128.12
A,4,10,37,763,Diesel,17,4945.1
A,6,9,43,744,Diesel,24,1609.16
E,7,14,22,720,Regular,2715,1628.12
B,10,1,33,757,Diesel,71,1128.12
E,7,8,27,702,Regular,3274,4695.11
D,6,9,30,744,Diesel,575,564.06
D,6,9,30,744,Diesel,575,564.06
C,5,4,27,730,Diesel,192,1128.12
C,4,2,37,770,Regular,300,62.51
C,5,3,30,740,Regular,192,1594.44
C,4,9,20,725,Regular,115,6820
B,4,5,36,770,Regular,64,39.02
C,4,8,39,769,Regular,115,302.65
C,5,5,19,720,Diesel,118,93.95
C,6,3,45,764,Regular,282,100.35
C,5,7,22,725,Diesel,115,617.53
A,5,14,21,725,Diesel,46,76.63
B,4,7,22,720,Regular,51,564.06
B,4,7,22,720,Regular,51,526.965
E,7,9,36,725,Regular,6284,3040.5
A,7,19,65,770,Regular,30,2559.56
A,5,10,47,749,Diesel,23,3623.2
B,5,1,43,770,Diesel,57,1128.12
E,4,2,30,745,Regular,3103,1128.12
B,5,1,58,745,Diesel,57,1128
A,7,12,42,767,Regular,13,1128.12
C,6,6,31,759,Diesel,378,1128.12
C,7,11,29,770,Diesel,135,331.16
D,5,4,56,770,Diesel,1110,82.41
C,4,16,36,769,Regular,226,2990.98
B,7,4,68,770,Regular,70,1128
C,6,2,75,770,Diesel,478,1832.44
C,7,11,47,762,Regular,102,1128.12
B,13,14,31,756,Diesel,96,1128
C,6,2,29,769,Diesel,173,74.94
D,5,2,50,770,Diesel,854,34.7
E,4,15,76,770,Regular,3688,308.87
E,6,8,53,758,Diesel,3430,1128.12
B,7,8,50,770,Regular,73,2216.05
C,4,3,50,770,Regular,478,141.3
D,5,17,43,739,Regular,1054,1128
D,8,11,38,758,Diesel,1054,1128.12
B,9,2,73,755,Diesel,72,629.01
D,7,12,38,740,Regular,1054,70.74
C,8,10,58,758,Diesel,126,1128.12
D,7,11,40,748,Diesel,1054,543.3
D,8,5,29,730,Regular,1054,1128.12
D,9,15,67,688,Diesel,1054,1128
D,9,16,35,725,Diesel,1054,356.14
D,7,8,35,719,Regular,1054,1065.98
A,4,14,77,758,Regular,49,2256
C,9,8,29,708,Regular,295,1128.12
D,7,4,34,761,Diesel,1054,367.92
D,5,5,57,750,Diesel,568,65.27
D,7,6,37,744,Diesel,1054,1128.12
D,7,6,51,763,Diesel,1054,2756.66
D,5,11,36,714,Diesel,1054,432.69
C,4,9,31,745,Regular,176,1128.12
D,4,16,26,725,Regular,1054,1128
D,5,1,47,770,Diesel,1054,1149.54
D,6,8,33,748,Diesel,1185,2198.77
D,6,1,41,767,Diesel,1054,1128
E,7,14,43,770,Diesel,5328,194.635
E,7,14,43,770,Diesel,5328,3057.25
B,7,4,48,765,Diesel,84,13236.68
B,5,3,38,765,Regular,60,1128
D,6,1,19,725,Regular,817,1143.19
D,6,1,19,725,Regular,817,1787.875
C,7,13,35,744,Diesel,330,13518.75
E,5,7,22,770,Diesel,3744,201.93
E,7,6,39,766,Diesel,3744,2004.2
E,4,19,24,688,Regular,3744,1128.12
E,5,7,35,752,Diesel,3744,23.8
E,6,7,46,770,Regular,2715,1128.12
D,4,13,23,725,Regular,613,1128.12
E,7,6,54,744,Regular,3317,419.5
D,4,3,62,770,Regular,883,1747.32
C,5,2,34,770,Diesel,263,1417.59
C,5,2,34,770,Diesel,263,115.69
E,6,4,57,752,Diesel,9307,11780.96
E,6,4,27,719,Diesel,9307,144.66
C,5,2,33,765,Diesel,442,1128.12
E,4,1,51,752,Regular,3628,564
E,4,1,51,752,Regular,3628,42.845
C,5,4,35,766,Diesel,235,1614.54
E,7,10,43,770,Regular,2051,1067.15
E,5,10,43,770,Diesel,2051,1128.12
C,8,14,39,762,Diesel,443,138.06
D,6,1,57,770,Diesel,738,1128
D,6,9,62,770,Diesel,1381,2956.39
D,14,8,39,770,Regular,1250,1543.4
D,5,11,46,762,Diesel,1871,1128
E,6,8,60,770,Diesel,8549,1073.51
A,5,1,48,751,Diesel,15,922.94
E,6,12,44,730,Diesel,3857,1128.12
D,7,12,40,770,Regular,878,1265.31
B,6,7,61,770,Diesel,52,3109.08
A,4,19,48,770,Regular,15,1128.12
E,6,3,39,766,Diesel,3857,704.57
C,4,7,49,770,Diesel,413,181.4
B,7,6,50,735,Diesel,72,1128.12
E,4,11,50,758,Diesel,2906,152.45
D,8,10,46,770,Regular,1445,1128
E,7,6,39,758,Regular,4348,564.06
E,7,6,39,758,Regular,4348,564
D,5,7,48,770,Regular,1055,243.08
D,7,5,38,765,Diesel,1882,5437.53
D,7,9,45,770,Diesel,1445,450.66
C,5,1,61,751,Regular,262,1128.12
D,6,4,45,770,Diesel,617,1128.12
D,5,11,49,770,Diesel,644,1128
B,4,5,47,770,Regular,94,1128.12
D,7,1,44,770,Diesel,617,1128.12
D,8,6,54,770,Diesel,644,1128.12
A,5,4,36,758,Diesel,46,1128
D,9,0,26,748,Diesel,634,2053.22
C,7,3,53,770,Regular,139,13.76
A,7,11,57,770,Regular,30,65.63
B,6,2,34,770,Diesel,89,1064.93
B,4,3,23,730,Diesel,63,4885.8
E,5,5,42,757,Regular,7259,1128.12
A,7,21,28,730,Diesel,18,1128
C,7,3,31,760,Diesel,105,505.47
E,6,9,34,708,Regular,2740,76.39
E,5,6,23,730,Regular,2740,1128
D,9,6,39,770,Regular,824,2567.76
D,11,1,45,762,Diesel,1862,794.01
E,7,13,42,758,Regular,8549,1128.12
D,5,3,26,740,Regular,863,123.15
C,5,5,49,758,Regular,182,1128.12
C,8,10,20,720,Regular,242,9692.83
D,6,16,27,720,Regular,1482,90.25
C,7,4,46,702,Diesel,416,1128.12
C,6,0,21,730,Regular,182,3784.65
D,5,6,57,752,Regular,1482,1886.57
D,4,20,57,770,Regular,653,1625.32
E,7,8,27,756,Regular,2472,4249.03
E,6,14,47,735,Regular,5449,1128.12
D,8,1,57,770,Regular,553,1961.25
E,7,9,52,740,Diesel,5449,1128.12
C,5,12,19,730,Diesel,113,846.95
C,4,2,62,770,Regular,116,1028.04
C,8,4,62,770,Diesel,116,72.55
D,5,1,46,758,Diesel,555,1128
B,6,9,38,756,Diesel,73,1615.15
B,6,9,38,756,Diesel,73,606.915
E,4,10,31,725,Diesel,5449,1128.12
A,7,9,29,740,Diesel,49,1128.12
C,10,10,50,743,Diesel,200,876.38
E,5,9,51,765,Diesel,5449,1031.31
C,10,3,28,740,Regular,316,1569.26
D,7,9,50,770,Diesel,1328,567.91
C,6,13,36,720,Regular,131,564.06
C,6,13,36,720,Regular,131,564.06
C,9,0,53,734,Regular,132,1733.04
D,6,11,51,758,Diesel,1719,1128.12
D,6,9,30,735,Diesel,745,1245.57
E,5,8,25,725,Regular,8549,54.45
A,9,14,46,714,Regular,47,446.52
D,8,15,51,770,Regular,745,564.06
D,8,15,51,770,Regular,745,137.205
E,9,8,31,756,Regular,2252,1515.64
C,6,6,31,735,Diesel,465,3051.36
B,6,6,20,720,Regular,53,1128.12
C,4,18,55,730,Regular,260,1128.12
A,12,7,43,770,Diesel,16,1128
C,4,8,43,765,Regular,127,1128.12
A,4,10,30,770,Regular,11,74.76
E,4,13,48,732,Regular,2620,1128.12
E,6,7,36,769,Regular,6570,1693.25
E,4,14,35,725,Regular,2620,803.2
C,6,13,52,770,Diesel,127,1128
A,5,12,31,769,Diesel,21,68.92
C,9,0,83,770,Regular,240,2256.25
A,7,7,26,740,Regular,26,714.14
D,5,9,21,708,Diesel,1690,1170.44
E,4,0,26,725,Regular,3021,1128
E,6,11,46,770,Diesel,3021,665.08
C,14,8,24,740,Regular,139,1128
E,12,21,34,744,Diesel,3021,84.24
E,7,14,19,725,Regular,3021,396.37
E,9,8,28,720,Regular,3021,1128.12
C,5,2,51,760,Diesel,172,139.24
C,5,2,51,760,Diesel,172,564.06
C,10,13,28,749,Diesel,282,1128.12
B,6,14,28,732,Diesel,81,564
B,6,14,28,732,Diesel,81,564.06
A,6,12,42,770,Diesel,19,1128
A,10,22,71,770,Diesel,33,1128
C,7,13,50,753,Regular,148,9132.27
A,4,11,36,756,Regular,19,679.93
C,6,10,43,749,Diesel,239,976.25
B,8,1,46,762,Diesel,67,1128.12
C,6,4,66,770,Diesel,227,563.17
E,6,2,53,762,Diesel,4116,65.64
E,8,18,46,760,Diesel,4116,1128.12
E,10,13,46,727,Diesel,4116,1128
E,4,15,39,730,Regular,4116,1128
E,9,1,32,746,Regular,4116,1128
E,11,14,32,748,Regular,4116,2153.32
D,4,6,28,740,Regular,1027,2113.14
A,4,3,65,766,Regular,10,564.06
A,4,3,65,766,Regular,10,729.31
C,6,8,43,770,Diesel,182,1128.12
C,5,10,43,770,Regular,182,2328
A,4,17,19,720,Regular,39,1128.12
A,6,6,48,770,Diesel,10,1837.57
D,5,1,67,770,Diesel,1287,1128
C,5,12,22,730,Regular,478,206.53
C,6,1,44,768,Diesel,117,1128.12
E,7,0,20,770,Diesel,3317,1128
D,4,11,29,695,Regular,1006,1288.215
D,4,11,29,695,Regular,1006,6057.36
E,6,12,39,770,Diesel,3317,2703.22
E,9,9,40,756,Regular,3317,1128
E,5,0,46,748,Diesel,3317,65.64
C,6,1,51,770,Regular,301,2171.21
E,7,7,43,758,Regular,3317,1128.12
E,7,9,32,762,Diesel,3317,492.05
E,7,8,75,765,Diesel,3317,1858.4
E,4,12,53,735,Regular,3317,1128.12
C,5,10,42,770,Diesel,151,1217.62
D,6,0,40,757,Regular,721,12957.3
E,7,8,48,770,Diesel,3317,4849.58
E,6,5,44,770,Regular,3317,1014.67
C,8,21,47,770,Diesel,166,329.515
C,8,21,47,770,Diesel,166,564.06
B,5,0,50,770,Diesel,51,1128
A,6,10,48,753,Diesel,8,1128
D,12,6,44,735,Diesel,1313,497.84
B,5,1,49,770,Regular,83,6235.18
C,6,10,24,725,Diesel,369,335.39
B,5,3,41,758,Diesel,59,1128.12
B,5,13,47,770,Regular,84,564.06
B,5,13,47,770,Regular,84,60.13
D,7,5,63,770,Regular,1313,763.75
D,4,9,54,757,Regular,1898,1128
D,4,1,41,754,Regular,1466,3974.85
C,5,1,28,729,Diesel,269,1175.04
C,4,5,42,770,Regular,269,564.06
C,10,11,50,770,Diesel,431,1128.12
D,10,4,61,765,Diesel,583,86.86
C,5,8,37,752,Diesel,357,1128.12
E,10,4,49,768,Regular,8455,160.89
E,6,4,44,770,Diesel,8455,1128.12
C,6,6,50,770,Diesel,115,1128
E,10,12,33,745,Diesel,8455,1128
D,7,2,48,770,Diesel,1228,1128.12
E,6,14,56,708,Regular,8455,1128.12
E,10,1,30,735,Diesel,8455,9976.32
D,7,8,43,720,Diesel,516,1128.12
E,6,6,61,720,Diesel,8455,1128.12
D,6,1,36,735,Regular,710,1128
C,7,7,51,769,Diesel,322,1128
E,9,2,39,754,Diesel,2105,280.62
E,7,1,24,730,Regular,8455,1376.4
E,7,7,37,770,Diesel,8455,564
E,7,7,37,770,Diesel,8455,419.72
E,4,2,43,720,Regular,8455,1428
E,7,12,19,720,Regular,8455,1358.22
E,9,3,57,770,Regular,7590,843.4
D,5,9,50,770,Diesel,500,71.63
C,6,13,24,725,Regular,153,625.01
E,6,7,22,725,Diesel,2733,95.25
E,6,7,22,725,Diesel,2733,36.205
E,5,8,72,770,Regular,4762,1771.31
E,5,1,58,770,Regular,2733,564.06
E,5,1,58,770,Regular,2733,1073.165
E,4,1,45,770,Regular,4762,1175.6
E,5,6,34,748,Diesel,4762,1128
C,7,9,28,744,Regular,336,49.4
E,6,3,29,766,Diesel,2446,1128
B,8,4,34,725,Diesel,54,2192.52
C,7,11,31,752,Diesel,213,1128
E,10,12,49,730,Diesel,3541,1128
E,10,15,49,730,Diesel,3541,2368.24
A,7,14,34,740,Regular,24,1128.12
C,12,13,31,748,Regular,213,1128.12
B,5,9,32,753,Diesel,92,1128
B,9,1,58,770,Diesel,94,784.46
C,8,14,43,770,Regular,280,127.63
C,5,15,27,760,Regular,132,201.6
A,9,3,52,755,Diesel,33,1128.12
A,8,0,35,724,Diesel,20,602.78
C,5,1,28,749,Diesel,149,263.4
A,5,2,72,770,Regular,32,354.565
A,5,2,72,770,Regular,32,1490.41
C,6,2,59,770,Diesel,149,236.4
A,5,2,52,770,Diesel,26,2567.61
A,8,11,45,770,Diesel,41,1128.12
C,5,7,49,770,Regular,133,10902.21
D,7,13,38,770,Diesel,512,1128
A,9,16,45,770,Regular,41,1327.96
D,5,5,43,770,Diesel,598,536.49
E,9,2,38,743,Regular,6924,1128.12
C,4,17,22,695,Regular,133,1128.12
E,6,13,29,720,Diesel,4128,1128.12
D,7,8,49,770,Diesel,886,253.73
E,6,10,32,766,Diesel,2694,1128.12
C,7,1,47,770,Diesel,110,2036.43
D,4,25,30,720,Regular,886,376
D,4,25,30,720,Regular,886,376.04
D,4,25,30,720,Regular,886,188.02
D,11,0,47,770,Diesel,570,1128
D,5,7,62,770,Regular,578,1128
E,5,5,48,770,Regular,2446,1332.54
C,7,9,40,770,Regular,263,75.45
E,6,11,48,735,Diesel,4762,2528.12
E,4,9,48,758,Regular,4579,1442.06
D,8,11,39,762,Diesel,1250,1128
D,4,8,47,770,Regular,1347,71.65
D,15,2,32,760,Regular,1957,517
D,5,9,55,770,Regular,1064,752.27
F,5,3,58,760,Diesel,10155,757.58
E,5,1,56,770,Regular,7634,76.58
D,6,7,44,758,Diesel,930,1128.12
E,10,1,49,770,Regular,7187,1128.12
E,4,15,50,770,Regular,4939,7.61
E,5,4,31,766,Diesel,4478,12.2
E,6,7,29,760,Diesel,5053,189.1
F,6,1,53,767,Diesel,27000,77.23
F,9,7,29,769,Regular,27000,506.51
E,5,1,29,744,Diesel,4650,2068.83
E,7,9,32,765,Regular,4393,1444.06
F,6,6,46,770,Regular,22669,672.48
F,5,1,56,747,Regular,27000,418.59
F,9,1,36,730,Regular,27000,2363.32
F,5,2,39,760,Diesel,22669,2770.68
E,6,1,44,762,Regular,2411,1128
F,6,5,33,770,Regular,17140,152.45
C,6,5,35,768,Diesel,126,1128.12
E,7,2,56,764,Diesel,4436,1402.87
E,8,2,56,751,Diesel,4436,1128.12
D,7,10,29,770,Regular,1064,62.15
A,6,8,26,752,Diesel,48,981.43
C,10,12,30,708,Diesel,122,564
C,10,12,30,708,Diesel,122,527.75
C,5,8,60,743,Regular,105,1128.12
B,8,1,52,770,Diesel,73,358.55
B,6,8,51,770,Diesel,83,5716.56
E,11,6,41,729,Regular,3238,564
E,11,6,41,729,Regular,3238,592.06
D,5,14,23,739,Diesel,1600,187.89
C,4,22,19,720,Regular,105,2430.95
C,7,8,20,720,Regular,105,152.3
C,8,14,20,720,Regular,105,235.09
A,7,11,48,730,Regular,20,39.14
E,5,4,25,748,Diesel,2105,284.01
D,5,0,72,770,Diesel,581,1128.12
D,7,3,43,758,Regular,1182,623.84
D,6,0,81,770,Diesel,1182,1128.12
A,6,7,49,770,Regular,28,1128
E,4,14,34,770,Regular,8455,65.52
D,6,2,41,770,Diesel,625,1128.12
D,7,7,46,756,Regular,625,1367.98
D,10,9,52,770,Regular,1286,1671.16
E,7,2,52,770,Regular,3963,1128.12
E,6,4,47,770,Diesel,3963,4926.84
E,5,7,55,770,Diesel,3963,1128
D,6,9,39,770,Regular,625,1128.12
D,5,13,39,762,Regular,1286,1252.92
E,10,13,27,748,Diesel,3963,564.06
E,9,11,31,708,Diesel,3963,4421.98
C,6,5,33,770,Diesel,278,1063.08
C,10,1,41,770,Diesel,324,1128.12
E,10,3,35,754,Diesel,3744,1128
D,8,2,61,760,Regular,682,1128
E,5,2,33,766,Regular,3744,903.07
C,5,2,30,752,Diesel,139,1128
E,8,7,48,770,Diesel,2715,348.35
D,5,8,47,770,Regular,613,252.65
A,6,9,36,750,Regular,30,2128.12
E,9,11,32,757,Regular,3744,1128
C,7,7,63,770,Regular,113,377.38
D,5,11,52,752,Diesel,1193,1128.12
C,4,16,26,720,Regular,149,336.455
C,4,16,26,720,Regular,149,564.06
C,10,0,44,769,Diesel,152,950.96
C,4,0,44,765,Regular,149,1128
B,7,17,57,702,Regular,59,1128.12
E,5,1,52,770,Diesel,2715,576.06
E,8,8,59,752,Diesel,2715,1128.12
E,10,0,59,735,Regular,2715,89.02
D,14,10,42,748,Regular,1329,1128.12
C,7,7,34,760,Diesel,370,214.7
E,13,7,54,756,Regular,4116,1128.12
E,13,7,54,740,Regular,4116,65.64
D,5,11,48,756,Diesel,1109,1128.12
A,6,1,31,731,Regular,20,1128.12
A,6,8,32,766,Diesel,27,85.58
D,7,5,50,695,Diesel,1248,134.0533333
D,7,5,50,695,Diesel,1248,739.5633333
D,7,5,50,695,Diesel,1248,1850.096667
B,7,8,24,708,Diesel,57,1128.12
B,4,10,47,770,Regular,84,1184.49
E,15,2,46,770,Regular,3545,75.07
A,7,15,52,770,Regular,20,2584.43
D,5,7,26,730,Regular,530,634.72
F,9,18,42,720,Regular,27000,1128
A,5,18,63,720,Diesel,29,1247.73
D,4,9,18,720,Regular,1313,51.02
C,5,13,24,730,Diesel,220,1128.12
C,6,8,33,770,Diesel,214,1128
C,4,14,44,770,Regular,214,799.39
A,8,14,54,743,Regular,43,2121.28
C,4,7,44,770,Regular,115,1128.12
C,6,7,44,758,Diesel,115,14960.97
B,5,16,37,769,Regular,54,1030.95
C,11,8,27,730,Regular,146,1128
B,5,2,45,770,Regular,65,564.06
D,7,5,35,739,Diesel,837,641.73
D,7,5,35,739,Diesel,837,564.06
A,6,11,44,770,Diesel,41,1128.12
C,7,6,43,770,Diesel,194,273.11
E,5,7,39,744,Regular,3688,743.53
E,5,7,39,752,Regular,3688,68.73
E,13,12,32,750,Regular,3688,106.48
E,7,15,55,748,Regular,3688,141.52
B,6,2,33,770,Regular,67,4081.17
D,8,12,54,770,Regular,1110,3695.73
E,5,5,52,762,Regular,3430,2041.85
E,4,7,23,725,Regular,3688,11136.76
C,11,1,45,743,Regular,368,564.06
E,7,7,25,720,Regular,3688,1433.02
C,11,11,32,735,Regular,301,249.78
C,9,9,62,770,Regular,116,1357.1
E,4,12,75,770,Regular,3688,1128
C,6,1,37,770,Regular,210,431.27
C,5,12,46,770,Diesel,204,1128.12
D,7,14,59,770,Diesel,1219,1128.12
A,5,17,21,725,Regular,38,596.37
B,7,6,19,702,Regular,93,1128
D,6,6,42,770,Diesel,1284,119.1
D,6,6,45,770,Diesel,1219,1026.43
D,4,5,50,770,Regular,625,1128
C,6,9,21,730,Diesel,105,2184.32
C,5,5,48,770,Diesel,324,1128.12
B,5,12,42,761,Diesel,80,1128.12
A,6,13,24,744,Diesel,26,1841.58
D,6,3,20,730,Diesel,1541,1128
C,8,10,36,770,Regular,120,511.06
C,7,1,37,769,Diesel,177,78.4
C,7,12,58,762,Regular,393,1128
C,6,1,39,749,Diesel,279,1128.12
D,5,5,43,770,Regular,1286,1128.12
D,7,7,23,725,Regular,625,564.06
D,7,7,23,725,Regular,625,564
D,7,10,48,770,Diesel,741,84.97
D,8,10,50,770,Regular,741,604.21
A,6,1,73,770,Regular,33,1128.12
D,7,16,42,725,Diesel,563,96.24
A,7,10,41,770,Regular,31,829.81
C,6,2,44,764,Diesel,270,564.06
C,6,3,45,770,Diesel,270,1128.12
A,6,13,66,708,Diesel,14,1494.87
D,10,11,30,735,Regular,741,1128
B,7,12,32,763,Regular,72,76.63
D,4,5,74,758,Regular,1313,1128
C,7,7,22,720,Regular,105,1128
D,6,11,32,764,Diesel,614,1128
B,4,17,26,720,Regular,81,1128.12
B,5,9,19,725,Regular,57,4312.63
A,6,13,30,770,Diesel,44,1864.76
C,5,6,39,770,Diesel,130,1128
A,7,13,25,672,Regular,47,777.48
C,7,5,23,744,Diesel,332,3427.12
D,6,11,52,758,Diesel,1381,564.06
C,6,15,40,756,Diesel,163,4361.97
D,7,3,34,740,Regular,1040,94.825
D,7,3,34,740,Regular,1040,564.06
D,5,0,34,740,Regular,1040,114.51
C,4,10,37,735,Diesel,115,1128.12
C,4,8,37,761,Regular,313,607.31
C,7,3,54,770,Diesel,478,6004.49
D,7,2,47,770,Diesel,912,1128
D,9,1,47,770,Regular,912,63.27
B,7,13,45,758,Diesel,68,137.07
D,7,8,51,770,Diesel,912,1128
C,5,9,50,770,Regular,298,1899.28
D,5,7,35,757,Regular,1448,131.92
D,5,7,35,757,Regular,1448,35.645
C,4,1,56,760,Regular,426,1128.12
C,4,2,42,770,Regular,426,1128.12
D,6,7,28,735,Diesel,1326,51.15
D,6,7,28,735,Diesel,1326,88.725
D,4,15,24,730,Diesel,1326,62.83
C,7,6,40,758,Diesel,199,4010.67
C,5,2,43,768,Regular,233,784.59
C,4,7,50,768,Regular,146,1128.12
D,6,7,43,740,Diesel,1448,4361.03
D,6,7,43,740,Diesel,1448,564
B,5,1,51,760,Diesel,87,411.61
D,9,14,35,765,Diesel,533,9427.17
C,7,7,36,770,Diesel,325,703.35
E,6,6,50,770,Diesel,4939,295.105
E,6,6,50,770,Diesel,4939,491.68
E,6,10,38,770,Regular,3301,143.77
F,8,1,56,708,Diesel,27000,1567.28
F,8,1,56,708,Diesel,27000,147.565
B,5,6,46,740,Diesel,83,1639.88
B,7,4,46,720,Diesel,83,240.7
E,4,9,35,695,Diesel,2740,1128.12
E,6,5,32,716,Diesel,3095,446.11
D,8,3,53,765,Diesel,930,7308.68
E,10,11,27,744,Regular,2740,92.99
E,7,11,28,735,Regular,2740,85.96
E,7,15,24,740,Diesel,2740,7746.01
E,12,15,24,735,Regular,2740,1397.02
E,12,15,24,740,Regular,2740,85.96
B,7,0,69,770,Regular,97,1128
A,7,11,44,770,Regular,30,1128.12
C,6,7,40,770,Diesel,155,3479.61
D,10,5,53,770,Diesel,1313,608.07
C,7,5,63,768,Diesel,214,1128.12
D,6,1,28,752,Diesel,1313,275.83
A,5,9,25,748,Diesel,12,2122.28
B,6,8,36,761,Regular,59,1128.12
A,5,1,56,770,Regular,11,1128.12
C,7,11,34,740,Regular,405,75.47
B,7,9,20,720,Regular,63,1128.12
A,4,0,26,744,Diesel,33,313.22
D,8,14,38,720,Diesel,1704,81.31
D,6,6,22,730,Diesel,1704,289.35
E,6,6,59,769,Diesel,2715,3773.5
E,7,7,43,762,Regular,3744,667.47
E,7,7,43,762,Regular,3744,282
C,6,6,53,730,Diesel,161,1128
E,7,9,39,770,Diesel,3744,1764
E,6,4,39,758,Diesel,3744,38.745
E,6,4,39,758,Diesel,3744,27.35
D,5,1,38,770,Diesel,1403,1128
D,5,1,38,770,Diesel,1403,238.22
C,4,9,40,770,Diesel,142,252.93
D,7,8,28,769,Diesel,613,1600.15
C,9,12,51,770,Regular,421,1489.14
E,7,18,40,744,Regular,3744,3219.72
A,9,16,47,770,Diesel,47,73.2
D,6,5,26,744,Regular,1403,959.36
E,7,8,38,754,Regular,3744,1325.69
D,6,5,34,763,Diesel,1232,738.99
B,5,1,43,770,Regular,73,195.46
E,8,1,36,714,Regular,4059,1128
C,8,11,71,770,Regular,473,5487
C,5,1,26,756,Regular,125,289.52
C,7,5,55,770,Regular,473,1128
C,6,8,29,725,Regular,473,13321.68
D,6,7,21,714,Diesel,747,1128
A,4,10,47,770,Regular,7,1128
E,9,3,41,770,Regular,8549,335.02
D,4,14,46,758,Regular,546,376.04
D,4,14,46,758,Regular,546,1950.816667
D,4,14,46,758,Regular,546,156.3166667
E,5,3,58,770,Diesel,9307,65.3
E,13,1,30,766,Regular,9307,76.5
E,8,3,44,725,Diesel,2897,108.49
E,6,15,54,725,Regular,9307,1128
