Gender,HP,Credit,Years,Marital,Vehicle,Miles,Family,Accident
F,127,698,19,Married,Car,12218,7,No
M,131,737,18,Married,Van,10563,7,No
M,150,833,30,Single,Utility,8090,8,No
F,147,688,8,Married,Car,8082,7,No
M,157,718,30,Married,Utility,9592,2,No
M,92,729,9,Married,Utility,37881,6,No
M,146,761,24,Married,Utility,12893,6,No
M,447,646,4,Single,Car,10226,7,No
F,240,696,7,Married,Truck,45397,7,No
M,135,743,26,Married,Van,6903,7,No
M,132,764,26,Married,Utility,9013,6,No
M,96,704,25,Single,Utility,6542,6,No
F,110,799,16,Married,Car,12497,5,No
M,122,754,7,Married,Truck,10743,3,No
F,95,731,10,Married,Car,28000,8,No
M,181,726,4,Single,Car,11817,7,No
M,99,735,15,Married,Van,10447,7,No
F,602,691,18,Married,Car,18208,7,No
M,115,675,20,Married,Truck,8653,5,No
F,298,593,6,Single,Utility,14082,7,No
F,153,684,37,Single,Car,8405,6,No
M,126,758,20,Married,Utility,14436,7,No
M,89,535,2,Married,Car,58321,1,No
M,638,583,8,Married,Utility,8127,8,No
F,116,680,16,Married,Car,11871,7,No
M,88,726,10,Married,Van,76809,1,No
M,190,722,3,Single,Car,12967,6,No
M,388,584,3,Married,Car,10763,1,No
F,123,692,16,Married,Truck,13406,5,No
M,170,702,8,Married,Utility,82335,3,No
F,159,690,18,Married,Truck,10308,3,No
M,154,594,2,Single,Car,64844,1,No
F,126,687,11,Married,Truck,6938,4,No
F,128,670,15,Married,Truck,8388,4,No
F,424,662,3,Single,Truck,10902,7,No
M,109,679,9,Married,Truck,62047,7,No
F,140,685,6,Married,Truck,6728,5,No
M,148,712,22,Single,Utility,5742,6,No
M,95,788,4,Married,Truck,10389,3,No
M,83,747,22,Married,Van,12779,6,No
F,535,721,34,Married,Truck,20000,1,No
F,110,699,21,Married,Truck,6872,6,No
M,121,728,10,Single,Utility,14309,7,No
M,288,725,6,Married,Utility,58702,7,No
F,277,710,4,Married,Car,39438,7,No
F,87,750,20,Married,Truck,9421,3,No
F,119,777,18,Married,Car,11603,6,No
M,105,840,19,Single,Utility,8766,8,No
M,151,741,35,Married,Van,8797,6,No
F,424,602,6,Single,Truck,11194,7,No
M,155,766,36,Married,Truck,7125,2,No
M,136,719,13,Single,Utility,11565,6,No
M,109,770,27,Married,Van,12016,2,No
M,82,545,5,Married,Van,88610,8,No
M,98,845,14,Single,Utility,7211,8,No
F,130,676,2,Married,Truck,13274,4,No
M,181,843,2,Single,Car,10867,1,No
F,93,690,8,Married,Car,12062,4,No
F,129,686,8,Married,Car,12270,2,No
M,193,736,5,Single,Car,12528,7,No
M,124,797,11,Married,Van,12555,8,No
F,571,721,34,Married,Truck,16736,4,No
F,134,714,22,Married,Car,14859,4,No
F,153,684,14,Married,Car,7716,8,No
F,123,681,17,Married,Car,6808,5,No
M,489,733,35,Married,Van,9797,5,No
F,134,670,15,Married,Car,12323,6,No
M,98,749,26,Married,Utility,14076,2,No
M,151,672,3,Single,Utility,6024,6,No
M,104,694,17,Married,Van,14589,2,No
F,582,735,31,Married,Truck,7030,3,No
F,136,787,20,Married,Truck,11499,4,No
M,159,747,3,Married,Truck,10763,1,No
M,129,722,12,Married,Van,7985,5,No
F,116,749,28,Married,Car,5089,7,No
F,98,697,22,Married,Car,14982,3,No
M,100,761,17,Married,Van,12594,5,No
F,658,689,21,Married,Car,15759,1,No
F,290,676,17,Married,Car,6349,5,No
M,144,799,29,Married,Van,12070,3,No
M,151,799,13,Single,Utility,5378,8,No
F,151,682,18,Single,Car,14161,2,No
F,132,789,24,Married,Truck,6434,7,No
M,86,676,32,Married,Van,11470,2,No
M,147,729,20,Married,Van,11844,8,No
F,131,733,12,Married,Truck,6052,2,No
F,129,772,16,Married,Car,6862,7,No
M,124,775,15,Married,Van,14333,4,No
M,110,820,2,Single,Car,13960,6,No
M,340,706,10,Married,Car,9306,1,No
F,122,729,22,Married,Car,10814,4,No
M,138,678,35,Married,Van,5201,7,No
M,132,701,25,Married,Van,13988,4,No
F,341,627,8,Single,Truck,14867,5,No
M,157,716,9,Married,Utility,92924,4,No
M,144,778,15,Married,Van,11393,5,No
M,147,684,11,Single,Utility,12403,2,No
M,123,719,20,Married,Truck,13049,1,No
M,280,500,2,Married,Car,10045,5,No
M,159,792,20,Married,Utility,14889,5,No
M,142,673,14,Married,Car,11103,1,No
M,140,692,24,Married,Van,9253,1,No
F,90,703,11,Married,Car,5600,2,No
M,106,770,12,Married,Truck,6335,4,No
M,118,803,17,Single,Utility,5100,6,No
M,152,663,4,Single,Car,99871,1,No
M,86,835,39,Single,Utility,10978,4,No
M,122,345,8,Married,Truck,19759,2,No
F,155,767,21,Married,Truck,9172,7,No
F,145,769,18,Married,Truck,13552,5,No
M,534,704,34,Married,Van,5700,3,No
M,124,375,2,Single,Car,13609,8,No
M,382,338,2,Single,Utility,20751,1,No
M,91,785,13,Single,Utility,13854,5,No
M,140,595,5,Single,Car,59299,6,No
F,103,682,27,Single,Car,14683,8,No
M,88,754,18,Married,Van,13634,5,No
M,364,653,5,Married,Car,10705,2,No
F,140,684,30,Married,Car,17738,5,No
F,249,630,7,Single,Truck,10488,3,No
F,118,730,24,Married,Car,11112,7,No
F,137,701,18,Married,Car,12145,4,No
M,120,756,6,Married,Van,14191,7,No
M,106,739,9,Single,Utility,9690,4,No
M,160,825,15,Single,Utility,10896,5,No
F,255,681,8,Married,Truck,47735,2,No
F,125,683,19,Married,Car,23932,3,No
M,147,721,10,Single,Utility,8395,8,No
M,157,679,5,Married,Van,5858,7,No
F,383,321,8,Single,Truck,17196,5,No
F,126,706,33,Married,Truck,14337,6,No
F,98,691,16,Married,Car,10708,1,No
F,144,676,14,Married,Truck,35441,5,No
F,281,626,8,Single,Truck,10006,4,No
M,146,822,14,Single,Utility,8299,5,No
M,140,686,28,Married,Truck,6681,6,No
M,135,682,19,Married,Truck,11214,5,No
F,141,737,38,Married,Car,12611,4,No
M,176,659,4,Single,Car,10171,1,No
F,104,705,25,Married,Truck,5136,5,No
F,98,710,15,Single,Car,9305,4,No
M,126,831,1,Single,Car,13971,2,No
M,92,794,7,Married,Van,12044,2,No
F,155,793,38,Single,Car,13949,4,No
F,479,653,5,Single,Truck,14693,2,No
M,147,781,24,Single,Utility,8104,2,No
F,346,645,7,Single,Truck,13411,3,No
M,148,767,36,Married,Truck,8940,4,No
F,94,726,26,Married,Truck,5418,1,No
F,101,743,39,Married,Car,17681,2,No
F,81,755,24,Married,Car,9195,8,No
F,93,696,8,Married,Car,43112,2,No
M,139,799,9,Married,Van,7388,5,No
M,116,671,8,Married,Van,41120,4,No
M,117,749,7,Married,Truck,13398,7,No
M,171,449,5,Single,Car,14674,3,No
F,119,783,34,Married,Truck,12797,5,No
M,98,849,29,Single,Utility,5735,6,No
M,319,731,4,Single,Car,10149,1,No
M,125,764,18,Married,Van,12885,7,No
F,121,673,10,Married,Car,17575,7,No
F,541,718,21,Married,Truck,24717,2,No
M,84,722,29,Married,Truck,8128,4,No
M,109,703,13,Married,Truck,6645,3,No
M,146,778,10,Married,Van,14103,3,No
M,127,831,16,Single,Utility,10875,3,No
M,91,718,31,Married,Truck,13671,5,No
F,505,736,16,Married,Car,24401,2,No
F,101,680,19,Married,Car,11690,3,No
F,117,722,37,Married,Car,14333,2,No
M,99,798,22,Married,Truck,7834,7,No
M,106,675,13,Married,Van,8420,2,No
M,138,709,8,Married,Truck,12258,4,No
M,196,719,5,Married,Van,54481,7,No
F,91,731,5,Single,Car,66056,6,No
M,132,682,30,Married,Van,9863,2,No
F,117,759,30,Married,Car,24311,2,No
M,100,674,6,Married,Truck,14689,4,No
M,106,747,11,Single,Utility,9291,5,No
M,129,701,14,Married,Car,13492,4,No
F,419,686,7,Single,Utility,13284,5,No
F,153,678,18,Married,Truck,10528,6,No
M,118,681,14,Married,Van,10315,7,No
M,460,604,2,Single,Utility,20637,5,No
F,516,685,25,Married,Car,16504,6,No
F,189,651,5,Single,Van,11068,5,No
M,195,470,2,Single,Car,14102,5,No
M,93,693,16,Married,Van,7308,8,No
F,149,798,32,Married,Car,6854,5,No
F,291,708,5,Single,Car,29021,7,No
F,128,770,24,Married,Truck,8225,4,No
M,153,794,38,Married,Van,6687,5,No
F,471,317,8,Single,Truck,10104,8,No
F,376,818,6,Single,Truck,24020,1,No
M,95,704,35,Married,Truck,14233,6,No
F,130,759,16,Married,Car,7670,2,No
F,334,692,5,Married,Car,93110,1,No
M,140,786,38,Married,Van,13729,8,No
F,148,687,15,Married,Car,9017,6,No
M,104,768,15,Married,Van,9943,3,No
M,181,639,8,Married,Truck,13679,2,No
F,272,589,5,Single,Truck,12532,3,No
M,151,794,5,Single,Utility,13808,6,No
F,101,684,20,Married,Car,22755,5,No
F,96,750,36,Married,Truck,7538,7,No
F,132,758,17,Married,Truck,7804,4,No
M,416,470,2,Married,Car,12034,2,No
M,260,710,5,Single,Car,13888,5,No
F,681,679,31,Married,Car,8993,7,No
F,86,783,11,Married,Car,22162,2,No
M,92,695,1,Single,Car,24746,2,No
M,220,656,4,Married,Car,11537,8,No
M,143,803,10,Single,Utility,13662,8,No
F,597,761,3,Married,Car,13665,4,No
F,159,673,12,Married,Car,14974,8,No
M,151,721,16,Married,Truck,10153,5,No
F,93,707,12,Married,Car,5315,3,No
F,111,790,19,Married,Car,10188,2,No
M,143,787,16,Married,Van,8340,3,No
M,125,778,20,Married,Van,13237,3,No
F,98,789,17,Married,Car,8200,2,No
M,121,696,19,Married,Van,12212,5,No
F,213,733,5,Married,Car,94334,2,No
F,102,727,39,Married,Car,13759,4,No
M,124,672,11,Married,Truck,8466,5,No
M,142,679,5,Married,Truck,10606,4,No
M,885,732,5,Single,Car,10854,3,No
M,84,758,18,Married,Van,14399,3,No
F,142,694,16,Married,Car,5144,3,No
M,131,775,22,Single,Utility,6536,3,No
F,291,738,6,Single,Car,33216,7,No
F,130,683,16,Married,Truck,11870,7,No
M,160,813,8,Single,Utility,7349,4,No
F,139,697,17,Married,Truck,11978,7,No
M,233,679,8,Married,Utility,25405,1,No
M,187,635,1,Single,Car,61960,8,No
F,159,684,8,Married,Truck,39600,5,No
M,129,772,25,Married,Van,8675,8,No
M,125,675,28,Married,Van,11076,5,No
F,139,707,5,Married,Car,41269,8,No
M,80,774,30,Married,Van,9689,8,No
M,126,784,22,Married,Van,13203,4,No
F,81,710,18,Married,Truck,8165,6,No
F,149,736,8,Single,Van,11886,6,No
M,99,703,17,Single,Utility,9616,3,No
F,615,768,4,Married,Car,11182,3,No
M,150,577,3,Single,Car,24490,6,No
M,98,763,30,Married,Van,14279,8,No
M,102,688,33,Married,Truck,12100,8,No
F,116,773,15,Married,Truck,14053,4,No
M,158,751,7,Married,Truck,11547,8,No
M,192,611,11,Married,Truck,12113,2,No
M,88,713,16,Single,Utility,10335,2,No
M,297,686,7,Married,Truck,48938,6,No
F,494,595,1,Single,Car,13060,8,No
F,110,677,29,Married,Car,8031,1,No
M,426,650,3,Married,Car,10135,8,No
M,112,708,21,Single,Utility,13450,7,No
M,253,739,5,Married,Car,12031,2,No
M,204,678,6,Married,Van,79521,4,No
M,87,672,12,Married,Van,6011,3,No
M,158,682,2,Married,Van,9580,5,No
M,157,690,1,Married,Van,5580,2,No
M,156,773,34,Married,Van,7773,1,No
M,93,684,7,Single,Utility,7902,4,No
M,116,746,19,Married,Van,10002,1,No
M,140,837,2,Single,Car,14893,8,No
M,127,850,2,Single,Utility,12571,7,No
F,128,749,15,Married,Car,18016,5,No
F,88,673,17,Single,Car,9101,5,No
F,410,715,5,Married,Car,21782,8,No
F,109,686,24,Single,Car,8953,4,No
M,399,584,4,Single,Car,11677,4,No
F,113,695,37,Married,Car,13633,2,No
M,100,733,25,Married,Truck,13563,4,No
M,298,822,1,Single,Utility,11640,6,No
M,132,675,25,Married,Truck,14965,1,No
M,125,792,9,Married,Van,8236,7,No
F,421,426,7,Single,Truck,10219,5,No
M,131,689,30,Married,Truck,11159,6,No
F,219,596,7,Single,Truck,11012,8,No
M,186,414,6,Married,Truck,13048,2,No
F,125,723,10,Married,Truck,7053,5,No
M,102,764,26,Married,Van,5494,6,No
M,108,704,26,Single,Utility,12728,6,No
M,120,682,7,Married,Utility,55851,8,No
F,578,714,23,Married,Car,16366,6,No
M,132,751,20,Single,Utility,8338,4,No
M,156,790,10,Married,Van,5214,2,No
F,140,725,13,Married,Truck,12313,2,No
F,159,699,23,Married,Truck,13060,3,No
M,125,724,17,Single,Utility,12029,5,No
F,85,673,1,Married,Truck,12441,6,No
M,354,608,3,Married,Car,14321,6,No
F,346,632,6,Single,Truck,11772,1,No
F,496,725,20,Married,Car,20896,1,No
F,131,690,4,Married,Car,7701,6,No
M,109,670,25,Married,Van,7462,7,No
M,84,726,29,Married,Van,8947,8,No
F,248,765,13,Married,Car,6976,6,No
M,89,755,18,Married,Van,12880,3,No
M,122,720,13,Married,Van,5035,4,No
M,115,762,17,Single,Utility,14346,3,No
M,81,701,12,Married,Van,92861,4,No
M,159,672,14,Married,Van,7330,8,No
F,328,686,6,Single,Truck,12403,2,No
M,442,455,2,Married,Car,14515,4,No
M,105,794,32,Married,Truck,9222,3,No
F,137,679,20,Married,Truck,12160,2,No
M,479,711,5,Single,Utility,13190,7,No
M,100,757,3,Married,Utility,5876,4,No
M,141,725,20,Married,Van,8605,4,No
F,85,717,22,Married,Car,7474,8,No
M,151,773,20,Married,Van,6008,6,No
F,154,785,39,Married,Truck,5164,6,No
F,141,697,16,Married,Truck,11648,7,No
M,127,674,5,Married,Van,11834,1,No
M,174,615,8,Married,Truck,14505,4,No
M,120,785,29,Married,Van,5346,6,No
F,113,705,9,Married,Car,43493,5,No
M,113,731,6,Single,Utility,7334,5,No
F,135,724,15,Married,Car,6418,1,No
F,642,684,40,Married,Car,10007,4,No
M,271,708,4,Married,Car,57691,5,No
M,357,528,4,Single,Car,14018,5,No
M,112,766,18,Married,Truck,10819,5,No
M,97,754,19,Married,Van,9993,7,No
F,151,677,19,Single,Car,11164,2,No
F,87,676,19,Married,Car,10332,7,No
M,436,346,2,Single,Car,11712,1,No
F,117,741,16,Married,Car,10445,6,No
M,113,507,8,Married,Truck,13534,5,No
M,106,763,23,Married,Utility,14941,1,No
M,154,675,14,Married,Car,10651,5,No
M,88,745,17,Married,Van,8522,8,No
M,83,789,32,Married,Truck,5070,7,No
F,94,777,12,Married,Car,12740,4,No
F,401,707,6,Single,Truck,12743,3,No
M,118,670,8,Married,Truck,9622,3,No
F,144,680,15,Married,Truck,10022,7,No
M,125,671,3,Single,Car,11913,1,No
F,102,688,37,Married,Car,14390,7,No
M,88,578,6,Married,Utility,87360,5,No
M,133,676,4,Married,Van,11038,4,No
M,269,673,7,Married,Van,52314,8,No
M,139,689,23,Married,Utility,10705,7,No
M,133,717,20,Married,Van,6679,8,No
F,108,734,19,Married,Car,11800,2,No
F,215,724,8,Single,Truck,13019,1,No
M,150,741,19,Married,Utility,9267,4,No
F,328,605,6,Single,Truck,12878,8,No
F,417,305,7,Single,Utility,14404,8,No
M,132,692,20,Married,Van,6410,4,No
M,109,678,12,Married,Van,8575,6,No
M,135,825,15,Single,Utility,11031,2,No
F,97,772,40,Married,Truck,11866,2,No
F,152,743,26,Married,Car,14266,5,No
M,90,790,12,Married,Truck,5431,4,No
M,127,798,30,Married,Truck,9138,7,No
M,106,784,20,Married,Utility,10363,5,No
M,102,709,22,Married,Van,5727,5,No
F,121,726,18,Married,Truck,13891,7,No
F,120,692,24,Single,Car,11713,2,No
M,318,675,5,Married,Utility,87762,4,No
F,128,797,13,Married,Car,20210,1,No
F,128,750,19,Married,Car,5262,3,No
F,80,776,12,Married,Car,6438,7,No
F,571,702,32,Married,Truck,17360,4,No
F,334,731,5,Single,Truck,14346,7,No
M,108,799,15,Married,Van,12934,6,No
M,107,772,3,Married,Van,5338,2,No
F,88,784,10,Married,Car,7768,4,No
M,322,552,2,Married,Van,67635,3,No
F,99,685,26,Married,Truck,13654,8,No
M,444,615,1,Married,Truck,9180,1,No
M,245,522,3,Married,Van,52474,6,No
F,160,777,24,Married,Car,8382,5,No
F,90,754,7,Married,Truck,5334,5,No
F,107,678,10,Married,Truck,13998,5,No
M,310,556,3,Single,Utility,13611,8,No
F,696,695,13,Married,Car,18916,2,No
M,124,685,37,Married,Van,8725,6,No
M,136,828,7,Single,Utility,6127,6,No
M,139,814,22,Single,Utility,12397,4,No
F,453,685,16,Married,Car,7413,5,No
F,80,759,19,Married,Truck,5083,2,No
F,137,712,23,Single,Car,13213,8,No
F,84,798,10,Married,Car,12560,5,No
F,159,772,12,Married,Car,17321,3,No
M,115,740,36,Single,Utility,10566,1,No
M,92,767,19,Married,Van,13725,2,No
F,469,706,5,Single,Truck,11754,2,No
M,259,635,2,Married,Car,76557,6,No
M,140,768,30,Married,Utility,6006,4,No
F,146,691,33,Married,Car,7546,4,No
M,96,784,16,Married,Van,7036,2,No
M,83,685,25,Married,Van,5180,1,No
F,148,732,32,Married,Car,11133,8,No
M,103,741,25,Married,Truck,11054,5,No
F,132,688,16,Married,Car,11909,2,No
F,375,724,7,Single,Truck,14945,1,No
F,143,720,24,Single,Car,14848,7,No
F,84,717,39,Single,Car,7140,7,No
F,114,720,19,Married,Truck,5734,5,No
F,103,747,30,Married,Car,6345,1,No
F,152,735,30,Married,Car,9989,6,No
F,85,568,6,Married,Car,28981,3,No
M,101,744,22,Married,Van,8981,3,No
F,110,793,15,Married,Car,9318,1,No
F,147,743,17,Married,Truck,13784,6,No
F,127,797,13,Married,Car,24133,4,No
M,153,678,27,Single,Utility,7907,4,No
F,290,640,6,Single,Truck,14980,1,No
M,142,638,7,Married,Truck,24785,2,No
F,135,711,19,Single,Car,14334,1,No
M,124,778,8,Married,Truck,6197,7,No
F,220,595,6,Single,Truck,14344,4,No
M,93,709,17,Married,Van,12100,3,No
M,128,768,5,Married,Van,8150,3,No
M,93,720,1,Single,Utility,10766,5,No
F,126,707,6,Single,Van,12105,1,No
M,91,746,22,Married,Van,6269,4,No
M,122,795,30,Married,Truck,6594,3,No
F,84,737,18,Married,Car,5004,4,No
F,269,664,7,Single,Truck,10587,4,No
M,388,538,2,Single,Utility,10701,5,No
M,218,722,2,Married,Car,12770,1,No
M,264,693,3,Married,Van,46510,2,No
M,340,610,5,Married,Car,12262,7,No
M,107,399,1,Single,Car,20820,6,No
M,164,560,1,Married,Van,37921,1,No
F,258,724,9,Married,Car,12654,3,No
F,128,731,13,Married,Car,9946,8,No
M,266,665,4,Married,Car,10981,5,No
F,144,670,21,Married,Truck,6535,1,No
M,100,677,7,Married,Van,5446,8,No
F,110,679,10,Married,Car,5530,1,No
M,99,784,15,Married,Van,9524,5,No
F,404,612,6,Single,Utility,10482,8,No
F,316,646,6,Single,Truck,22785,6,No
F,82,746,20,Married,Car,6237,4,No
M,132,709,28,Married,Truck,12873,1,No
M,151,703,14,Married,Van,10647,2,No
F,122,745,6,Married,Car,11897,7,No
F,140,796,5,Married,Car,8569,6,No
M,120,729,17,Single,Utility,5664,2,No
F,145,686,18,Single,Car,9306,1,No
F,106,719,26,Married,Car,11805,7,No
M,99,688,23,Married,Van,12549,4,No
M,96,728,36,Married,Truck,14892,1,No
F,129,755,22,Married,Car,10072,7,No
F,153,752,10,Single,Car,14835,5,No
M,417,362,2,Single,Utility,16517,3,No
F,127,785,16,Married,Car,16278,8,No
F,482,758,3,Married,Car,8387,4,No
M,146,592,7,Married,Truck,23154,2,No
M,217,681,5,Married,Car,34905,1,No
M,132,740,8,Married,Van,14441,8,No
M,157,777,32,Married,Van,13232,2,No
F,80,761,38,Married,Truck,9565,3,No
M,119,747,23,Single,Utility,12383,2,No
M,499,631,1,Married,Van,10173,3,No
M,99,843,15,Single,Utility,9714,7,No
F,159,784,6,Married,Truck,12658,8,No
F,127,738,38,Married,Truck,5023,5,No
M,114,752,32,Single,Utility,6318,5,No
M,89,798,18,Married,Van,13926,2,No
M,113,775,22,Married,Van,8110,8,No
M,90,741,23,Married,Truck,9218,3,No
M,99,785,30,Married,Van,9740,6,No
M,114,677,17,Married,Van,11851,6,No
F,457,355,5,Single,Truck,14118,6,No
M,150,712,19,Married,Van,13760,7,No
F,104,763,18,Married,Truck,8895,3,No
M,84,789,33,Single,Utility,8067,3,No
F,153,688,36,Single,Car,13288,8,No
M,238,697,2,Married,Car,14088,2,No
F,156,793,16,Married,Car,8276,8,No
M,121,721,4,Single,Car,10448,6,No
F,134,763,8,Single,Car,12094,2,No
M,142,692,5,Single,Car,11022,7,No
M,136,660,1,Single,Car,26164,6,No
F,405,609,8,Single,Truck,12951,8,No
F,236,598,5,Single,Truck,13939,8,No
F,165,416,6,Single,Truck,12412,4,No
M,137,682,10,Married,Van,64038,4,No
M,91,748,23,Married,Van,12608,8,No
M,127,776,7,Single,Utility,9160,5,No
F,157,798,12,Married,Car,5377,2,No
M,154,850,21,Single,Utility,10317,6,No
F,164,678,4,Single,Car,90366,8,No
M,152,786,7,Married,Van,6291,3,No
F,93,769,13,Married,Truck,13524,6,No
M,86,570,5,Married,Utility,72024,3,No
M,115,694,33,Married,Utility,5347,4,No
M,142,716,31,Married,Truck,8357,7,No
F,147,736,18,Married,Car,5254,6,No
F,92,741,7,Married,Truck,22449,7,No
F,139,673,6,Single,Car,5279,8,No
F,127,772,13,Married,Truck,12899,2,No
M,323,629,5,Married,Car,18138,8,No
M,123,792,16,Married,Truck,10134,6,No
F,145,790,18,Married,Car,6131,5,No
F,179,717,8,Single,Van,14646,4,No
F,273,657,7,Single,Truck,13341,2,No
M,159,736,20,Married,Van,12740,3,No
F,91,715,14,Married,Car,8339,7,No
M,498,717,3,Married,Car,11262,2,No
F,136,795,25,Married,Car,12412,3,No
M,122,678,21,Single,Utility,6488,6,No
M,155,687,17,Married,Utility,9409,8,No
M,102,743,14,Married,Van,5310,5,No
F,156,748,17,Married,Car,7609,1,No
M,90,751,4,Married,Truck,14646,4,No
F,363,399,6,Single,Truck,11130,1,No
F,90,690,29,Married,Car,14353,5,No
F,152,682,22,Married,Truck,10795,8,No
F,102,685,13,Single,Car,7798,8,No
F,102,754,14,Single,Car,11003,1,No
M,122,759,40,Married,Van,9625,5,No
F,296,690,8,Married,Car,44430,5,No
M,239,677,6,Married,Van,30260,8,No
F,147,701,25,Married,Car,6723,1,No
M,116,726,18,Married,Utility,6318,2,No
F,94,793,12,Married,Truck,24567,8,No
M,98,773,15,Married,Van,13417,1,No
M,182,596,6,Married,Truck,12979,4,No
M,145,781,33,Single,Utility,6576,6,No
M,147,830,4,Single,Utility,10564,6,No
M,115,760,24,Single,Utility,10715,6,No
M,93,715,5,Married,Truck,11765,8,No
M,184,627,3,Single,Car,13889,3,No
M,681,757,3,Married,Van,9452,4,No
M,423,468,4,Married,Car,16067,1,No
F,142,725,19,Married,Car,10701,1,No
F,455,706,22,Married,Car,22935,6,No
M,157,757,16,Married,Van,11762,8,No
M,92,580,13,Married,Truck,12576,2,No
M,81,674,15,Married,Car,11187,5,No
M,86,744,22,Single,Utility,14847,3,No
M,104,684,25,Married,Van,13569,4,No
F,130,746,18,Married,Truck,11428,3,No
M,312,818,4,Married,Car,23965,8,No
F,105,794,19,Married,Truck,7405,4,No
M,151,672,6,Married,Truck,10603,8,No
F,125,788,8,Married,Truck,6018,6,No
M,137,793,33,Married,Truck,10731,7,No
F,150,766,14,Married,Car,16196,6,No
F,415,700,40,Single,Car,6985,7,No
F,124,749,26,Married,Car,5820,5,No
F,638,767,6,Married,Truck,8469,5,No
M,144,784,20,Married,Van,10115,5,No
F,516,698,34,Married,Car,15314,7,No
F,108,720,19,Married,Car,13109,7,No
F,433,380,7,Single,Truck,19737,8,No
M,147,747,17,Married,Van,8846,3,No
M,120,713,13,Single,Utility,10661,1,No
M,96,672,12,Married,Truck,11788,1,No
M,326,728,6,Married,Van,43541,1,No
F,160,765,15,Married,Car,5616,2,No
M,102,687,25,Single,Utility,12969,3,No
M,89,689,20,Married,Van,6448,4,No
F,399,559,7,Single,Utility,14081,7,No
M,139,731,12,Married,Truck,6570,5,No
M,812,660,3,Single,Utility,8181,7,No
F,108,671,10,Married,Car,5895,4,No
F,191,739,5,Married,Car,50698,6,No
M,304,647,2,Married,Car,61571,2,No
M,454,714,1,Married,Car,13353,5,No
M,620,748,3,Married,Utility,12649,5,No
F,258,585,7,Single,Truck,11451,7,No
F,101,766,37,Married,Car,18757,5,No
M,82,761,16,Married,Van,11021,8,No
M,118,746,25,Married,Truck,11958,7,No
M,478,685,4,Married,Car,14969,8,No
F,257,462,7,Single,Truck,24216,7,No
F,119,756,6,Married,Car,7401,8,No
F,86,453,5,Married,Car,62748,8,No
M,139,787,13,Married,Truck,12229,1,No
F,113,748,39,Married,Truck,11887,7,No
M,116,763,16,Married,Van,10991,8,No
M,157,789,7,Married,Van,11664,8,No
M,136,785,21,Married,Van,13136,4,No
M,140,719,18,Married,Truck,11247,7,No
M,116,718,39,Married,Truck,14992,6,No
F,112,679,15,Single,Car,8892,3,No
F,103,704,19,Married,Car,8824,5,No
F,197,664,8,Single,Van,13654,8,No
M,103,687,8,Married,Van,92392,8,No
M,132,741,13,Single,Utility,13620,8,No
F,149,756,14,Single,Car,12456,7,No
M,287,702,3,Single,Car,14311,7,No
M,128,631,3,Single,Car,86692,8,No
M,81,683,9,Single,Utility,11359,7,No
M,440,641,4,Married,Car,11163,7,No
M,94,692,26,Married,Truck,10939,8,No
F,143,760,17,Married,Car,9007,7,No
F,444,606,6,Single,Truck,12051,2,No
M,82,778,10,Married,Van,9471,8,No
M,133,782,13,Single,Utility,12255,5,No
F,103,682,10,Married,Truck,79757,4,No
F,91,742,14,Married,Car,12405,4,No
F,86,437,8,Married,Car,70143,2,No
M,353,613,3,Married,Car,11411,7,No
F,297,682,6,Single,Truck,13009,2,No
M,355,733,1,Married,Car,12827,8,No
F,82,759,20,Married,Truck,20866,4,No
F,85,672,12,Married,Truck,66083,8,No
F,89,535,5,Married,Car,74056,5,No
M,123,715,8,Married,Truck,10480,8,No
M,242,731,2,Single,Car,17536,6,No
F,154,754,31,Married,Car,9266,1,No
M,675,638,2,Married,Van,14577,6,No
M,115,792,34,Single,Utility,13425,5,No
F,88,770,16,Married,Car,9629,6,No
M,134,716,10,Married,Van,59356,7,No
F,89,690,9,Married,Truck,52081,7,No
F,159,731,17,Single,Car,6382,1,No
M,97,745,18,Married,Utility,10672,1,No
M,119,744,19,Single,Utility,7975,4,No
F,342,605,7,Single,Van,10549,3,No
M,123,750,11,Married,Truck,6062,8,No
F,240,737,5,Single,Car,76993,6,No
F,475,697,26,Married,Car,17587,5,No
M,113,737,22,Married,Truck,13977,3,No
F,260,695,7,Single,Truck,12373,3,No
M,151,749,17,Single,Utility,9892,7,No
F,173,630,6,Single,Truck,23759,4,No
M,103,787,21,Married,Van,14143,4,No
M,84,737,19,Married,Utility,10537,2,No
M,94,714,2,Single,Car,15462,2,No
F,219,834,6,Single,Truck,24209,8,No
M,121,795,27,Married,Van,12983,7,No
M,95,673,25,Married,Van,9052,2,No
M,96,675,14,Married,Van,13002,2,No
M,96,747,15,Married,Van,14546,6,No
M,117,706,8,Married,Van,30453,8,No
M,142,714,28,Married,Truck,14623,8,No
M,260,821,4,Married,Car,23015,1,No
F,82,721,29,Married,Truck,14112,8,No
M,86,750,26,Single,Utility,12587,1,No
F,594,692,16,Married,Truck,16662,1,No
M,155,825,7,Single,Utility,8078,5,No
F,110,692,23,Married,Car,5678,1,No
F,306,629,6,Single,Truck,11328,4,No
F,300,643,5,Single,Truck,13527,3,No
M,128,674,24,Married,Van,14962,8,No
M,91,759,36,Married,Van,6729,3,No
F,376,390,6,Single,Truck,10366,7,No
M,226,654,5,Married,Car,11505,8,No
M,114,679,22,Married,Van,8052,5,No
